"ensembl_gene_id","external_gene_name","bucket","great_apes","chimp_human","age"
"ENSG00000197619","ZNF615",3,"no","no","old"
"ENSG00000181007","ZFP82",1,"no","no","old"
"ENSG00000197714","ZNF460",1,"no","no","old"
"ENSG00000197013","ZNF429",2,"no","no","young"
"ENSG00000182141","ZNF708",2,"no","no","young"
"ENSG00000198551","ZNF627",3,"no","no","old"
"ENSG00000189190","ZNF600",2,"no","no","young"
"ENSG00000083828","ZNF586",2,"no","no","young"
"ENSG00000189144","ZNF573",1,"no","no","old"
"ENSG00000196417","ZNF765",2,"no","no","young"
"ENSG00000187187","ZNF546",1,"no","no","old"
"ENSG00000186017","ZNF566",1,"no","no","old"
"ENSG00000249709","ZNF564",3,"no","no","old"
"ENSG00000198466","ZNF587",2,"no","no","young"
"ENSG00000184635","ZNF93",2,"yes","no","young"
"ENSG00000173875","ZNF791",1,"no","no","old"
"ENSG00000198182","ZNF607",1,"no","no","old"
"ENSG00000188283","ZNF383",1,"no","no","old"
"ENSG00000196724","ZNF418",1,"no","no","old"
"ENSG00000197128","ZNF772",1,"no","no","old"
"ENSG00000197497","ZNF665",2,"no","no","young"
"ENSG00000196646","ZNF136",3,"no","no","old"
"ENSG00000197360","ZNF98",2,"no","no","young"
"ENSG00000197124","ZNF682",2,"no","no","young"
"ENSG00000188629","ZNF177",1,"no","no","old"
"ENSG00000198093","ZNF649",2,"no","no","young"
"ENSG00000213096","ZNF254",2,"no","no","young"
"ENSG00000166704","ZNF606",1,"no","no","old"
"ENSG00000196268","ZNF493",1,"no","no","old"
"ENSG00000198521","ZNF43",2,"no","no","young"
"ENSG00000167555","ZNF528",2,"no","no","young"
"ENSG00000159915","ZNF233",1,"no","no","old"
"ENSG00000197808","ZNF461",3,"no","no","old"
"ENSG00000197044","ZNF441",2,"no","no","young"
"ENSG00000178935","ZNF552",2,"no","no","young"
"ENSG00000120784","ZFP30",1,"no","no","old"
"ENSG00000197372","ZNF675",2,"no","no","young"
"ENSG00000182986","ZNF320",2,"no","no","young"
"ENSG00000256771","ZNF253",2,"no","no","young"
"ENSG00000251369","ZNF550",1,"no","no","old"
"ENSG00000105708","ZNF14",1,"no","no","old"
"ENSG00000189042","ZNF567",1,"no","no","old"
"ENSG00000170949","ZNF160",3,"no","no","old"
"ENSG00000198429","ZNF69",2,"no","no","young"
"ENSG00000081665","ZNF506",2,"no","no","young"
"ENSG00000178386","ZNF223",2,"no","no","young"
"ENSG00000089335","ZNF302",2,"no","no","young"
"ENSG00000213973","ZNF99",2,"no","no","young"
"ENSG00000229676","ZNF492",2,"no","no","young"
"ENSG00000181896","ZNF101",2,"no","no","young"
"ENSG00000257591","ZNF625",2,"no","no","young"
"ENSG00000160352","ZNF714",2,"no","no","young"
"ENSG00000263002","ZNF234",3,"no","no","old"
"ENSG00000242852","ZNF709",1,"no","no","old"
"ENSG00000160321","ZNF208",1,"no","no","old"
"ENSG00000159882","ZNF230",2,"no","no","young"
"ENSG00000196172","ZNF681",2,"no","no","young"
"ENSG00000196109","ZNF676",2,"no","no","young"
"ENSG00000196081","ZNF724",2,"no","no","young"
"ENSG00000237440","ZNF737",2,"no","no","young"
"ENSG00000180884","ZNF792",1,"no","no","old"
"ENSG00000179909","ZNF154",1,"no","no","old"
"ENSG00000268696","ZNF723",2,"yes","no","young"
"ENSG00000196350","ZNF729",2,"no","no","young"
"ENSG00000267508","ZNF285",1,"no","no","old"
"ENSG00000269699","ZIM2",1,"no","no","old"
"ENSG00000197134","ZNF257",2,"no","no","young"
"ENSG00000245680","ZNF585B",1,"no","no","old"
"ENSG00000269067","ZNF728",2,"no","no","young"
"ENSG00000183850","ZNF730",2,"no","no","young"
"ENSG00000131127","ZNF141",2,"no","no","young"
"ENSG00000130684","ZNF337",2,"no","no","young"
"ENSG00000196345","ZKSCAN7",1,"no","no","old"
"ENSG00000088876","ZNF343",1,"no","no","old"
"ENSG00000177842","ZNF620",1,"no","no","old"
"ENSG00000177873","ZNF619",1,"no","no","old"
"ENSG00000125846","ZNF133",1,"no","no","old"
"ENSG00000172888","ZNF621",1,"no","no","old"
"ENSG00000185219","ZNF445",1,"no","no","old"
"ENSG00000185252","ZNF74",1,"no","no","old"
"ENSG00000186448","ZNF197",1,"no","no","old"
"ENSG00000182903","ZNF721",2,"yes","no","young"
"ENSG00000198185","ZNF334",1,"no","no","old"
"ENSG00000182983","ZNF662",1,"no","no","old"
"ENSG00000164048","ZNF589",1,"no","no","old"
"ENSG00000186777","ZNF732",2,"no","no","young"
"ENSG00000096654","ZNF184",1,"no","no","old"
"ENSG00000197343","ZNF655",2,"no","no","young"
"ENSG00000189298","ZKSCAN3",1,"no","no","old"
"ENSG00000197123","ZNF679",2,"no","no","young"
"ENSG00000196453","ZNF777",1,"no","no","old"
"ENSG00000137185","ZSCAN9",1,"no","no","old"
"ENSG00000166526","ZNF3",1,"no","no","old"
"ENSG00000197008","ZNF138",2,"no","no","young"
"ENSG00000173041","ZNF680",2,"no","no","young"
"ENSG00000145908","ZNF300",1,"no","no","old"
"ENSG00000197362","ZNF786",1,"no","no","old"
"ENSG00000177932","ZNF354C",1,"no","no","old"
"ENSG00000106261","ZKSCAN1",3,"no","no","old"
"ENSG00000164256","PRDM9",3,"no","no","old"
"ENSG00000178338","ZNF354B",1,"no","no","old"
"ENSG00000178187","ZNF454",1,"no","no","old"
"ENSG00000185177","ZNF479",2,"yes","no","young"
"ENSG00000197037","ZSCAN25",3,"no","no","old"
"ENSG00000166529","ZSCAN21",1,"no","no","old"
"ENSG00000198315","ZKSCAN8",1,"no","no","old"
"ENSG00000234444","ZNF736",2,"no","no","young"
"ENSG00000196247","ZNF107",2,"no","no","young"
"ENSG00000181220","ZNF746",1,"no","no","old"
"ENSG00000164631","ZNF12",1,"no","no","old"
"ENSG00000196812","ZSCAN16",1,"no","no","old"
"ENSG00000169131","ZNF354A",1,"no","no","old"
"ENSG00000146587","RBAK",1,"no","no","old"
"ENSG00000146757","ZNF92",2,"no","no","young"
"ENSG00000160908","ZNF394",2,"no","no","young"
"ENSG00000235109","ZSCAN31",1,"no","no","old"
"ENSG00000196652","ZKSCAN5",1,"no","no","old"
"ENSG00000170260","ZNF212",1,"no","no","old"
"ENSG00000197279","ZNF165",1,"no","no","old"
"ENSG00000197935","ZNF311",1,"no","no","old"
"ENSG00000204947","ZNF425",1,"no","no","old"
"ENSG00000198939","ZFP2",1,"no","no","old"
"ENSG00000187626","ZKSCAN4",1,"no","no","old"
"ENSG00000158691","ZSCAN12",1,"no","no","old"
"ENSG00000182111","ZNF716",2,"no","no","young"
"ENSG00000223614","ZNF735",2,"no","no","young"
"ENSG00000178665","ZNF713",1,"no","no","old"
"ENSG00000197024","ZNF398",1,"no","no","old"
"ENSG00000198039","ZNF273",2,"no","no","young"
"ENSG00000170265","ZNF282",1,"no","no","old"
"ENSG00000081386","ZNF510",1,"no","no","old"
"ENSG00000136870","ZNF189",1,"no","no","old"
